file_name,column_name,viewpoint,result,summary
"['DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv']","['STOP_YMD', 'STOP_YMD', 'STOP_YMD', 'STOP_YMD']","['checkNumeric', 'checkRange', 'checkLength', 'checkCategory']","['NA', 'NA', 'NA', 'NG']","['32/42', '0/0', '32/42', '16.0/16.0']"
"['DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv']","['T_DT', 'T_DT', 'T_DT', 'T_DT']","['checkNumeric', 'checkRange', 'checkLength', 'checkCategory']","['NA', 'NA', 'NA', 'NG']","['0/42', '0/0', '39/42', '1.5/1.5']"
"['DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv', 'DBDetectOutlier.csv']","['MAIL_STOP_DT', 'MAIL_STOP_DT', 'MAIL_STOP_DT', 'MAIL_STOP_DT']","['checkNumeric', 'checkRange', 'checkLength', 'checkCategory']","['NA', 'NA', 'NA', 'NG']","['0/42', '0/0', '29/42', '2.6/3.7202150475476548']"
DBDetectOutlier.csv,BANKCode,checkNumeric,NG,41/42
DBDetectOutlier.csv,BANKCode,checkRange,NA,0/0
DBDetectOutlier.csv,BANKCode,checkLength,OK,42/42
DBDetectOutlier.csv,BANKCode,checkCategory,NG,10.5/6.103277807866851
DBDetectOutlier.csv,KEIY_SEQ,checkNumeric,OK,42/42
DBDetectOutlier.csv,KEIY_SEQ,checkRange,OK,234774.16666666666/130552.20234248147
DBDetectOutlier.csv,KEIY_SEQ,checkLength,NG,41/42
DBDetectOutlier.csv,KEIY_SEQ,checkCategory,NG,1.024390243902439/0.1542574468374818
DBDetectOutlier.csv,CIF_NO,checkNumeric,NA,7/42
DBDetectOutlier.csv,CIF_NO,checkRange,NA,0/0
DBDetectOutlier.csv,CIF_NO,checkLength,NA,35/42
DBDetectOutlier.csv,CIF_NO,checkCategory,NG,1.75/1.299038105676658
DBDetectOutlier.csv,LOGIN_PWD,checkNumeric,NA,0/42
DBDetectOutlier.csv,LOGIN_PWD,checkRange,NA,0/0
DBDetectOutlier.csv,LOGIN_PWD,checkLength,NA,23/42
DBDetectOutlier.csv,LOGIN_PWD,checkCategory,NG,3.8/2.227105745132009
DBDetectOutlier.csv,LOGIN_PWD_Date,checkNumeric,NA,0/42
DBDetectOutlier.csv,LOGIN_PWD_Date,checkRange,NA,0/0
DBDetectOutlier.csv,LOGIN_PWD_Date,checkLength,NA,34/42
DBDetectOutlier.csv,LOGIN_PWD_Date,checkCategory,NG,2.8/5.443038367186719
DBDetectOutlier.csv,User_PWD,checkNumeric,NA,0/42
DBDetectOutlier.csv,User_PWD,checkRange,NA,0/0
DBDetectOutlier.csv,User_PWD,checkLength,NA,39/42
DBDetectOutlier.csv,User_PWD,checkCategory,NG,1.0/0.816496580927726
DBDetectOutlier.csv,CreateDate,checkNumeric,NA,0/42
DBDetectOutlier.csv,CreateDate,checkRange,NA,0/0
DBDetectOutlier.csv,CreateDate,checkLength,NA,31/42
DBDetectOutlier.csv,CreateDate,checkCategory,NG,6.4/11.306635220082056
DBDetectOutlier.csv,Email,checkNumeric,NA,0/42
DBDetectOutlier.csv,Email,checkRange,NA,0/0
DBDetectOutlier.csv,Email,checkLength,NG,40/42
DBDetectOutlier.csv,Email,checkCategory,NG,14.0/18.384776310850235
